sample_num,row,col,iptg,parent_strain,strain_num,media,replicate
int,category,category,float,category,category,category,category
1,A,1,0,EcN,AJT472-1,M9,1
2,A,2,0,EcN,blank,blank,blank
3,A,3,0,EcN,AJT473-1,M9,1
4,A,4,0,EcN,blank,blank,blank
5,A,5,0,EcN,AJT474-1,M9,1
6,A,6,0,EcN,blank,blank,blank
7,A,7,0,EcN,AJT476-1a,M9,1
8,A,8,0,EcN,blank,blank,blank
9,A,9,0,EcN,AJT476-2a,M9,1
10,A,10,0,EcN,blank,blank,blank
11,B,1,0,EcN,AJT472-1,M9,1
12,B,2,0,EcN,blank,blank,blank
13,B,3,0,EcN,AJT473-1,M9,1
14,B,4,0,EcN,blank,blank,blank
15,C,1,0,EcN,AJT472,M9,1
16,C,2,0,EcN,blank,blank,blank
17,C,3,0,EcN,AJT473,M9,1
18,C,4,0,EcN,blank,blank,blank
19,C,5,0,EcN,AJT474,M9,1
20,C,6,0,EcN,blank,blank,blank
21,C,7,0,EcN,AJT476-1b,M9,1
22,C,8,0,EcN,blank,blank,blank
23,C,9,0,EcN,AJT476-2b,M9,1
24,C,10,0,EcN,blank,blank,blank
