sample_num,row,col,iptg,parent_strain,strain_num,media,replicate
int,category,category,float,category,category,category,category
1,A,1,0,EcN,AJT472-1,M9,2
2,A,2,0,EcN,blank,blank,blank
3,A,3,0,EcN,AJT473-1,M9,2
4,A,4,0,EcN,blank,blank,blank
5,A,5,0,EcN,AJT474-1,M9,2
6,A,6,0,EcN,blank,blank,blank
7,B,1,0,EcN,AJT472,M9,2
8,B,2,0,EcN,blank,blank,blank
9,B,3,0,EcN,AJT473,M9,2
10,B,4,0,EcN,blank,blank,blank
11,B,5,0,EcN,AJT474,M9,2
12,B,6,0,EcN,blank,blank,blank
13,C,1,0,EcN,AJT472-2,M9,2
14,C,2,0,EcN,blank,blank,blank
15,C,3,0,EcN,AJT473-2,M9,2
16,C,4,0,EcN,blank,blank,blank
17,C,5,0,EcN,AJT474-2,M9,2
18,C,6,0,EcN,blank,blank,blank
