sample_num,row,col,ohc14,van,cuma,ohc14_dmso,van_dmso,cuma_dmso,parent_strain,strain_num,media,replicate
int,category,category,float,float,float,float,float,float,category,category,category,category
1,A,1,0,0,0,0,0,0,EcN,AJT275,M9,3
2,A,2,0,0,0,0,0,0,EcN,blank,blank,blank
3,A,3,0,0,0,0,0,0,EcN,AJT276,M9,3
4,A,4,0,0,0,0,0,0,EcN,blank,blank,blank
5,A,5,0,0,0,0,0,0,EcN,AJT278,M9,3
6,A,6,0,0,0,0,0,0,EcN,blank,blank,blank
7,A,7,0,0,0,0,0,0,EcN,AJT275_dmso,M9,3
8,A,8,0,0,0,0,0,0,EcN,blank,blank,blank
9,A,9,0,0,0,0,0,0,EcN,AJT276_dmso,M9,3
10,A,10,0,0,0,0,0,0,EcN,blank,blank,blank
11,A,11,0,0,0,0,0,0,EcN,AJT278_dmso,M9,3
12,A,12,0,0,0,0,0,0,EcN,blank,blank,blank
13,B,1,0.01953125,0,0,0,0,0,EcN,AJT275,M9,3
14,B,2,0,0,0,0,0,0,EcN,blank,blank,blank
15,B,3,0,1.56125,0,0,0,0,EcN,AJT276,M9,3
16,B,4,0,0,0,0,0,0,EcN,blank,blank,blank
17,B,5,0,0,1.953125,0,0,0,EcN,AJT278,M9,3
18,B,6,0,0,0,0,0,0,EcN,blank,blank,blank
19,B,7,0,0,0,0.01953125,0,0,EcN,AJT275_dmso,M9,3
20,B,8,0,0,0,0,0,0,EcN,blank,blank,blank
21,B,9,0,0,0,0,1.56125,0,EcN,AJT276_dmso,M9,3
22,B,10,0,0,0,0,0,0,EcN,blank,blank,blank
23,B,11,0,0,0,0,0,1.953125,EcN,AJT278_dmso,M9,3
24,B,12,0,0,0,0,0,0,EcN,blank,blank,blank
25,C,1,0.0390625,0,0,0,0,0,EcN,AJT275,M9,3
26,C,2,0,0,0,0,0,0,EcN,blank,blank,blank
27,C,3,0,6.25,0,0,0,0,EcN,AJT276,M9,3
28,C,4,0,0,0,0,0,0,EcN,blank,blank,blank
29,C,5,0,0,3.90625,0,0,0,EcN,AJT278,M9,3
30,C,6,0,0,0,0,0,0,EcN,blank,blank,blank
31,C,7,0,0,0,0.0390625,0,0,EcN,AJT275_dmso,M9,3
32,C,8,0,0,0,0,0,0,EcN,blank,blank,blank
33,C,9,0,0,0,0,6.25,0,EcN,AJT276_dmso,M9,3
34,C,10,0,0,0,0,0,0,EcN,blank,blank,blank
35,C,11,0,0,0,0,0,3.90625,EcN,AJT278_dmso,M9,3
36,C,12,0,0,0,0,0,0,EcN,blank,blank,blank
37,D,1,0.078125,0,0,0,0,0,EcN,AJT275,M9,3
38,D,2,0,0,0,0,0,0,EcN,blank,blank,blank
39,D,3,0,12.5,0,0,0,0,EcN,AJT276,M9,3
40,D,4,0,0,0,0,0,0,EcN,blank,blank,blank
41,D,5,0,0,7.8125,0,0,0,EcN,AJT278,M9,3
42,D,6,0,0,0,0,0,0,EcN,blank,blank,blank
43,D,7,0,0,0,0.078125,0,0,EcN,AJT275_dmso,M9,3
44,D,8,0,0,0,0,0,0,EcN,blank,blank,blank
45,D,9,0,0,0,0,12.5,0,EcN,AJT276_dmso,M9,3
46,D,10,0,0,0,0,0,0,EcN,blank,blank,blank
47,D,11,0,0,0,0,0,7.8125,EcN,AJT278_dmso,M9,3
48,D,12,0,0,0,0,0,0,EcN,blank,blank,blank
49,E,1,0.15625,0,0,0,0,0,EcN,AJT275,M9,3
50,E,2,0,0,0,0,0,0,EcN,blank,blank,blank
51,E,3,0,25,0,0,0,0,EcN,AJT276,M9,3
52,E,4,0,0,0,0,0,0,EcN,blank,blank,blank
53,E,5,0,0,15.625,0,0,0,EcN,AJT278,M9,3
54,E,6,0,0,0,0,0,0,EcN,blank,blank,blank
55,E,7,0,0,0,0.15625,0,0,EcN,AJT275_dmso,M9,3
56,E,8,0,0,0,0,0,0,EcN,blank,blank,blank
57,E,9,0,0,0,0,25,0,EcN,AJT276_dmso,M9,3
58,E,10,0,0,0,0,0,0,EcN,blank,blank,blank
59,E,11,0,0,0,0,0,15.625,EcN,AJT278_dmso,M9,3
60,E,12,0,0,0,0,0,0,EcN,blank,blank,blank
61,F,1,0.3125,0,0,0,0,0,EcN,AJT275,M9,3
62,F,2,0,0,0,0,0,0,EcN,blank,blank,blank
63,F,3,0,50,0,0,0,0,EcN,AJT276,M9,3
64,F,4,0,0,0,0,0,0,EcN,blank,blank,blank
65,F,5,0,0,31.25,0,0,0,EcN,AJT278,M9,3
66,F,6,0,0,0,0,0,0,EcN,blank,blank,blank
67,F,7,0,0,0,0.3125,0,0,EcN,AJT275_dmso,M9,3
68,F,8,0,0,0,0,0,0,EcN,blank,blank,blank
69,F,9,0,0,0,0,50,0,EcN,AJT276_dmso,M9,3
70,F,10,0,0,0,0,0,0,EcN,blank,blank,blank
71,F,11,0,0,0,0,0,31.25,EcN,AJT278_dmso,M9,3
72,F,12,0,0,0,0,0,0,EcN,blank,blank,blank
73,G,1,1.25,0,0,0,0,0,EcN,AJT275,M9,3
74,G,2,0,0,0,0,0,0,EcN,blank,blank,blank
75,G,3,0,100,0,0,0,0,EcN,AJT276,M9,3
76,G,4,0,0,0,0,0,0,EcN,blank,blank,blank
77,G,5,0,0,62.5,0,0,0,EcN,AJT278,M9,3
78,G,6,0,0,0,0,0,0,EcN,blank,blank,blank
79,G,7,0,0,0,1.25,0,0,EcN,AJT275_dmso,M9,3
80,G,8,0,0,0,0,0,0,EcN,blank,blank,blank
81,G,9,0,0,0,0,100,0,EcN,AJT276_dmso,M9,3
82,G,10,0,0,0,0,0,0,EcN,blank,blank,blank
83,G,11,0,0,0,0,0,62.5,EcN,AJT278_dmso,M9,3
84,G,12,0,0,0,0,0,0,EcN,blank,blank,blank
85,H,1,10,0,0,0,0,0,EcN,AJT275,M9,3
86,H,2,0,0,0,0,0,0,EcN,blank,blank,blank
87,H,3,0,200,0,0,0,0,EcN,AJT276,M9,3
88,H,4,0,0,0,0,0,0,EcN,blank,blank,blank
89,H,5,0,0,500,0,0,0,EcN,AJT278,M9,3
90,H,6,0,0,0,0,0,0,EcN,blank,blank,blank
91,H,7,0,0,0,10,0,0,EcN,AJT275_dmso,M9,3
92,H,8,0,0,0,0,0,0,EcN,blank,blank,blank
93,H,9,0,0,0,0,200,0,EcN,AJT276_dmso,M9,3
94,H,10,0,0,0,0,0,0,EcN,blank,blank,blank
95,H,11,0,0,0,0,0,500,EcN,AJT278_dmso,M9,3
96,H,12,0,0,0,0,0,0,EcN,blank,blank,blank
