sample_num,row,col,iptg,ara,atc,nar,parent_strain,strain_num,media,replicate
int,category,category,float,float,float,float,category,category,category,category
1,A,1,0,0,0,0,EcN,AJT206,M9,4
2,A,2,0,0,0,0,EcN,blank,blank,blank
3,A,3,0,0,0,0,EcN,AJT269,M9,4
4,A,4,0,0,0,0,EcN,blank,blank,blank
5,A,5,0,0,0,0,EcN,AJT270,M9,4
6,A,6,0,0,0,0,EcN,blank,blank,blank
7,A,7,0,0,0,0,EcN,AJT273,M9,4
8,A,8,0,0,0,0,EcN,blank,blank,blank
9,A,9,0,0,0,0,EcN,AJT274,M9,4
10,A,10,0,0,0,0,EcN,blank,blank,blank
11,B,1,0,0,0,0,EcN,AJT206,M9,4
12,B,2,0,0,0,0,EcN,blank,blank,blank
13,B,3,5,0,0,0,EcN,AJT269,M9,4
14,B,4,0,0,0,0,EcN,blank,blank,blank
15,B,5,0,31.25,0,0,EcN,AJT270,M9,4
16,B,6,0,0,0,0,EcN,blank,blank,blank
17,B,7,0,0,0.78,0,EcN,AJT273,M9,4
18,B,8,0,0,0,0,EcN,blank,blank,blank
19,B,9,0,0,0,0.9765625,EcN,AJT274,M9,4
20,B,10,0,0,0,0,EcN,blank,blank,blank
21,C,1,0,0,0,0,EcN,AJT206,M9,4
22,C,2,0,0,0,0,EcN,blank,blank,blank
23,C,3,15,0,0,0,EcN,AJT269,M9,4
24,C,4,0,0,0,0,EcN,blank,blank,blank
25,C,5,0,125,0,0,EcN,AJT270,M9,4
26,C,6,0,0,0,0,EcN,blank,blank,blank
27,C,7,0,0,1.56,0,EcN,AJT273,M9,4
28,C,8,0,0,0,0,EcN,blank,blank,blank
29,C,9,0,0,0,3.90625,EcN,AJT274,M9,4
30,C,10,0,0,0,0,EcN,blank,blank,blank
31,D,1,0,0,0,0,EcN,AJT206,M9,4
32,D,2,0,0,0,0,EcN,blank,blank,blank
33,D,3,25,0,0,0,EcN,AJT269,M9,4
34,D,4,0,0,0,0,EcN,blank,blank,blank
35,D,5,0,250,0,0,EcN,AJT270,M9,4
36,D,6,0,0,0,0,EcN,blank,blank,blank
37,D,7,0,0,3.12,0,EcN,AJT273,M9,4
38,D,8,0,0,0,0,EcN,blank,blank,blank
39,D,9,0,0,0,15.625,EcN,AJT274,M9,4
40,D,10,0,0,0,0,EcN,blank,blank,blank
41,E,1,0,0,0,0,EcN,AJT280,M9,4
42,E,2,0,0,0,0,EcN,blank,blank,blank
43,E,3,40,0,0,0,EcN,AJT269,M9,4
44,E,4,0,0,0,0,EcN,blank,blank,blank
45,E,5,0,500,0,0,EcN,AJT270,M9,4
46,E,6,0,0,0,0,EcN,blank,blank,blank
47,E,7,0,0,6.25,0,EcN,AJT273,M9,4
48,E,8,0,0,0,0,EcN,blank,blank,blank
49,E,9,0,0,0,31.25,EcN,AJT274,M9,4
50,E,10,0,0,0,0,EcN,blank,blank,blank
51,F,1,0,0,0,0,EcN,AJT280,M9,4
52,F,2,0,0,0,0,EcN,blank,blank,blank
53,F,3,70,0,0,0,EcN,AJT269,M9,4
54,F,4,0,0,0,0,EcN,blank,blank,blank
55,F,5,0,1000,0,0,EcN,AJT270,M9,4
56,F,6,0,0,0,0,EcN,blank,blank,blank
57,F,7,0,0,12.5,0,EcN,AJT273,M9,4
58,F,8,0,0,0,0,EcN,blank,blank,blank
59,F,9,0,0,0,62.5,EcN,AJT274,M9,4
60,F,10,0,0,0,0,EcN,blank,blank,blank
61,G,1,0,0,0,0,EcN,AJT280,M9,4
62,G,2,0,0,0,0,EcN,blank,blank,blank
63,G,3,200,0,0,0,EcN,AJT269,M9,4
64,G,4,0,0,0,0,EcN,blank,blank,blank
65,G,5,0,2000,0,0,EcN,AJT270,M9,4
66,G,6,0,0,0,0,EcN,blank,blank,blank
67,G,7,0,0,50,0,EcN,AJT273,M9,4
68,G,8,0,0,0,0,EcN,blank,blank,blank
69,G,9,0,0,0,250,EcN,AJT274,M9,4
70,G,10,0,0,0,0,EcN,blank,blank,blank
71,H,1,0,0,0,0,EcN,AJT280,M9,4
72,H,2,0,0,0,0,EcN,blank,blank,blank
73,H,3,1000,0,0,0,EcN,AJT269,M9,4
74,H,4,0,0,0,0,EcN,blank,blank,blank
75,H,5,0,4000,0,0,EcN,AJT270,M9,4
76,H,6,0,0,0,0,EcN,blank,blank,blank
77,H,7,0,0,400,0,EcN,AJT273,M9,4
78,H,8,0,0,0,0,EcN,blank,blank,blank
79,H,9,0,0,0,1000,EcN,AJT274,M9,4
80,H,10,0,0,0,0,EcN,blank,blank,blank
