sample_num,row,col,iptg,parent_strain,strain_num,media,replicate
int,category,category,float,category,category,category,category
1,A,1,0,EcN,AJT309,M9,2
2,A,2,0,EcN,blank,blank,blank
3,A,3,0,EcN,AJT310,M9,2
4,A,4,0,EcN,blank,blank,blank
5,A,5,0,EcN,AJT311,M9,2
6,A,6,0,EcN,blank,blank,blank
7,A,7,0,EcN,AJT312,M9,2
8,A,8,0,EcN,blank,blank,blank
9,B,1,5,EcN,AJT309,M9,2
10,B,2,0,EcN,blank,blank,blank
11,B,3,5,EcN,AJT310,M9,2
12,B,4,0,EcN,blank,blank,blank
13,B,5,5,EcN,AJT311,M9,2
14,B,6,0,EcN,blank,blank,blank
15,B,7,5,EcN,AJT312,M9,2
16,B,8,0,EcN,blank,blank,blank
17,C,1,15,EcN,AJT309,M9,2
18,C,2,0,EcN,blank,blank,blank
19,C,3,15,EcN,AJT310,M9,2
20,C,4,0,EcN,blank,blank,blank
21,C,5,15,EcN,AJT311,M9,2
22,C,6,0,EcN,blank,blank,blank
23,C,7,15,EcN,AJT312,M9,2
24,C,8,0,EcN,blank,blank,blank
25,D,1,25,EcN,AJT309,M9,2
26,D,2,0,EcN,blank,blank,blank
27,D,3,25,EcN,AJT310,M9,2
28,D,4,0,EcN,blank,blank,blank
29,D,5,25,EcN,AJT311,M9,2
30,D,6,0,EcN,blank,blank,blank
31,D,7,25,EcN,AJT312,M9,2
32,D,8,0,EcN,blank,blank,blank
33,E,1,40,EcN,AJT309,M9,2
34,E,2,0,EcN,blank,blank,blank
35,E,3,40,EcN,AJT310,M9,2
36,E,4,0,EcN,blank,blank,blank
37,E,5,40,EcN,AJT311,M9,2
38,E,6,0,EcN,blank,blank,blank
39,E,7,40,EcN,AJT312,M9,2
40,E,8,0,EcN,blank,blank,blank
41,F,1,70,EcN,AJT309,M9,2
42,F,2,0,EcN,blank,blank,blank
43,F,3,70,EcN,AJT310,M9,2
44,F,4,0,EcN,blank,blank,blank
45,F,5,70,EcN,AJT311,M9,2
46,F,6,0,EcN,blank,blank,blank
47,F,7,70,EcN,AJT312,M9,2
48,F,8,0,EcN,blank,blank,blank
49,G,1,200,EcN,AJT309,M9,2
50,G,2,0,EcN,blank,blank,blank
51,G,3,200,EcN,AJT310,M9,2
52,G,4,0,EcN,blank,blank,blank
53,G,5,200,EcN,AJT311,M9,2
54,G,6,0,EcN,blank,blank,blank
55,G,7,200,EcN,AJT312,M9,2
56,G,8,0,EcN,blank,blank,blank
57,H,1,1000,EcN,AJT309,M9,2
58,H,2,0,EcN,blank,blank,blank
59,H,3,1000,EcN,AJT310,M9,2
60,H,4,0,EcN,blank,blank,blank
61,H,5,1000,EcN,AJT311,M9,2
62,H,6,0,EcN,blank,blank,blank
63,H,7,1000,EcN,AJT312,M9,2
64,H,8,0,EcN,blank,blank,blank
