sample_num,row,col,iptg,parent_strain,strain_num,media,replicate
int,category,category,float,category,category,category,category
1,A,1,0,EcN,AJT312,M9,4
2,A,2,0,EcN,blank,blank,blank
3,B,1,5,EcN,AJT312,M9,4
4,B,2,0,EcN,blank,blank,blank
5,C,1,15,EcN,AJT312,M9,4
6,C,2,0,EcN,blank,blank,blank
7,D,1,25,EcN,AJT312,M9,4
8,D,2,0,EcN,blank,blank,blank
9,E,1,40,EcN,AJT312,M9,4
10,E,2,0,EcN,blank,blank,blank
11,F,1,70,EcN,AJT312,M9,4
12,F,2,0,EcN,blank,blank,blank
13,G,1,200,EcN,AJT312,M9,4
14,G,2,0,EcN,blank,blank,blank
15,H,1,1000,EcN,AJT312,M9,4
16,H,2,0,EcN,blank,blank,blank
